"","Year","Team1","Team1_Goals","Team2","Team2_Goals","Winner"
"1",1930,"Uruguay",4,"Argentina",2,"Uruguay"
"2",1934,"Italy",2,"Czechoslovakia",1,"Italy"
"3",1938,"Italy",4,"Hungary",2,"Italy"
"4",1954,"Germany FR",3,"Hungary",2,"Germany FR"
"5",1958,"Brazil",5,"Sweden",2,"Brazil"
"6",1962,"Brazil",3,"Czechoslovakia",1,"Brazil"
"7",1966,"England",4,"Germany FR",2,"England"
"8",1970,"Brazil",4,"Italy",1,"Brazil"
"9",1974,"Germany FR",2,"Netherlands",1,"Germany FR"
"10",1978,"Argentina",3,"Netherlands",1,"Argentina"
"11",1982,"Italy",3,"Germany FR",1,"Italy"
"12",1986,"Argentina",3,"Germany FR",2,"Argentina"
"13",1990,"Germany FR",1,"Argentina",0,"Germany FR"
"14",1994,"Brazil",0,"Italy",0,"Brazil"
"15",1998,"France",3,"Brazil",0,"France"
"16",2002,"Brazil",2,"Germany",0,"Brazil"
"17",2006,"Italy",1,"France",1,"Italy"
"18",2010,"Spain",1,"Netherlands",0,"Spain"
"19",2014,"Germany",1,"Argentina",0,"Germany"
